Old Lviv Restaurant, OPERATIONAL, 2228 West Chicago Avenue, Chicago, 1, 4.6, No ratings 41.8959303, -87.683171
Potbelly Sandwich Shop, OPERATIONAL, 6464 North Sheridan Road, Chicago, 1, 4.3, No ratings 42.0000479, -87.66092859999999
Potbelly Sandwich Shop, OPERATIONAL, 600 East Grand Avenue, Chicago, 1, 3.1, No ratings 41.8915361, -87.6081908
La Storia, Italian Restaurant, OPERATIONAL, 1154 North Dearborn Street, Chicago, 3, 4.3, No ratings 41.9034734, -87.6302898
Commonwealth Tavern, OPERATIONAL, 2000 West Roscoe Street, Chicago, 2, 4.4, No ratings 41.94343200000001, -87.678595
Big City Chicken, OPERATIONAL, 600 East Grand Avenue, Chicago, Price information not available, 2.8, No ratings 41.89132300000001, -87.6076707
Ben & Jerry’s, OPERATIONAL, 600 East Grand Avenue, Chicago, 2, 3.9, No ratings 41.8917276, -87.6085693
South Kawa Japanese Restaurant, OPERATIONAL, 3417 South Halsted Street, Chicago, 2, 4.6, No ratings 41.8319903, -87.64599249999999
Museum Café, OPERATIONAL, 111 South Michigan Avenue, Chicago, Price information not available, 2.7, No ratings 41.8795162, -87.62149180000002
Gyu-Kaku Japanese BBQ, OPERATIONAL, 210 East Ohio Street, Chicago, 2, 4.5, No ratings 41.89277779999999, -87.6222222
The Sedgwick Stop, CLOSED_TEMPORARILY, 1612 North Sedgwick Street, Chicago, 1, 4.2, No ratings 41.9114969, -87.6387669
bb.q Chicken Lincoln Park, OPERATIONAL, 1337 West Fullerton Avenue, Chicago, 2, 4.3, No ratings 41.9249701, -87.661689
Dunkin', OPERATIONAL, 1954 West Peterson Avenue, Chicago, 1, 4.2, No ratings 41.9910313, -87.6792004
Island fish, OPERATIONAL, 250 East 35th Street, Chicago, Price information not available, No rating, No ratings 41.8312136, -87.61979219999999
TNT, OPERATIONAL, 601 West Root Street, Chicago, 1, 4.4, No ratings 41.8188034, -87.6410981
Chipotle Mexican Grill, OPERATIONAL, 1025 West Belmont Avenue, Chicago, 1, 4, No ratings 41.9397309, -87.6551454
Honeymoon Cafe, OPERATIONAL, 1138 West Argyle Street, Chicago, 2, 4.3, No ratings 41.9733452, -87.65939639999999
The Halal Guys, OPERATIONAL, 49 West Division Street, Chicago, 1, 3.8, No ratings 41.9037537, -87.63054679999999
Zizi's Cafe, OPERATIONAL, 2825 North Sheffield Avenue, Chicago, 2, 4.7, No ratings 41.93334350000001, -87.6536127
Sharks Fish And Chicken, OPERATIONAL, 215 West Pershing Road, Chicago, 1, 3.8, No ratings 41.823469, -87.6323369
Spoke & Bird Cafe (South Loop), OPERATIONAL, 205 East 18th Street, Chicago, 2, 4.3, No ratings 41.857757, -87.6219582
Jimmy John's, OPERATIONAL, 2115 West Roscoe Street, Chicago, 1, 3.2, No ratings 41.9429924, -87.68157579999999
Bari Foods, OPERATIONAL, 1120 West Grand Avenue #1, Chicago, 1, 4.7, No ratings 41.89129000000001, -87.655557
Wok & Roll, OPERATIONAL, 850 West Superior Street, Chicago, Price information not available, 5, No ratings 41.89573499999999, -87.64965199999999
Wagstaff, OPERATIONAL, 311 West Superior Street # 309, Chicago, Price information not available, 5, No ratings 41.8953172, -87.6365723
Withufusion Cuisine, OPERATIONAL, 3132 South Morgan Street, Chicago, Price information not available, 5, No ratings 41.836974, -87.6512841
Ken Kee Restaurant Hong Kong, OPERATIONAL, 2129 South China Place, Chicago, 1, 4.1, No ratings 41.8543969, -87.63327249999999
The Publican, OPERATIONAL, 837 West Fulton Market, Chicago, 3, 4.5, No ratings 41.8866349, -87.6488498
Piranhas Grill, OPERATIONAL, 2351 West Grand Avenue, Chicago, 2, 3.7, No ratings 41.8905104, -87.6862677
Harold's Chicken Shack West Loop, OPERATIONAL, 1501 West Madison Street, Chicago, 1, 3.6, No ratings 41.8812515, -87.66490220000001
Captain Hooks Fish & Chicken, OPERATIONAL, 1600 West 13th Street, Chicago, 1, 3.7, No ratings 41.8654629, -87.6668588
TECALITLAN MEXICAN KITCHEN & MARGARITA BAR, OPERATIONAL, 1538 North Clybourn Avenue a105, Chicago, 2, 4.2, No ratings 41.90928499999999, -87.6475194
Happy Lamb Hot Pot, OPERATIONAL, 2312 South Wentworth Avenue, Chicago, 2, 4.4, No ratings 41.85061799999999, -87.6321784
Potbelly Sandwich Shop, OPERATIONAL, 1560 North Wells Street, Chicago, 1, 4.1, No ratings 41.9108474, -87.63489039999999
The Gage, OPERATIONAL, 24 South Michigan Avenue, Chicago, 3, 4.5, No ratings 41.8813268, -87.6246925
L P SUBMARINE, CLOSED_TEMPORARILY, 513 East 47th Street, Chicago, Price information not available, 3.2, No ratings 41.80925939999999, -87.6132603
Offshore Rooftop, OPERATIONAL, 1000 East Grand Avenue, Chicago, Price information not available, 3.8, No ratings 41.8918435, -87.60017169999999
Wingstop, OPERATIONAL, 3326 North Western Avenue, Chicago, 2, 3.7, No ratings 41.9411967, -87.68934929999999
Super Star & Gyros, OPERATIONAL, 1159 West 47th Street, Chicago, 1, 4.1, No ratings 41.80838939999999, -87.6549752
Coq d'Or, OPERATIONAL, 140 East Walton Place, Chicago, 2, 4.3, No ratings 41.90015229999999, -87.6233833
Steve's Bite, OPERATIONAL, 80 East Cermak Road unit E, Chicago, 1, 4.4, No ratings 41.85303019999999, -87.62403719999999
Dynamic African Cuisine Inc, OPERATIONAL, 1127 West Thorndale Avenue, Chicago, 1, 3.9, No ratings 41.9896059, -87.6592843
Church's Texas Chicken, OPERATIONAL, 1808 West 47th Street, Chicago, 1, 3.8, No ratings 41.8088462, -87.6702576
Potbelly Sandwich Shop, OPERATIONAL, 1459 West Taylor Street, Chicago, 1, 3.6, No ratings 41.8691813, -87.6638607
Big Star, OPERATIONAL, 1531 North Damen Avenue, Chicago, 2, 4.4, No ratings 41.9093725, -87.6772728
Corner Bakery, OPERATIONAL, 444 West Jackson Boulevard, Chicago, 2, 3.8, No ratings 41.8783497, -87.6388765
Great Wall, OPERATIONAL, 6748 North Sheridan Road, Chicago, 1, 3.7, No ratings 42.0049025, -87.6611734
Sweetwaters Coffee & Tea, OPERATIONAL, 1457 North Halsted Street B105, Chicago, 1, 4.7, No ratings 41.9083705, -87.6477781
Nori Sushi At Edgewater, OPERATIONAL, 1235 West Devon Avenue, Chicago, 2, 4.3, No ratings 41.9980194, -87.6621052
Subway, OPERATIONAL, 4606 South Damen Avenue, Chicago, 1, 3.8, No ratings 41.8101018, -87.67765899999999
Panda Express, OPERATIONAL, 1730 West Fullerton Avenue #25, Chicago, 1, 3.9, No ratings 41.92684859999999, -87.673687
CURRENT, OPERATIONAL, 644 North Lake Shore Drive, Chicago, 2, 3.9, No ratings 41.89402949999999, -87.6154447
Derno's, OPERATIONAL, 506 West Diversey Parkway, Chicago, 1, 4.3, No ratings 41.9331217, -87.6417274
Burger King, OPERATIONAL, 2000 West 47th Street, Chicago, 1, 3.8, No ratings 41.80872859999999, -87.67545419999999
Starbucks, OPERATIONAL, 600 South Paulina Street, Chicago, 2, 3.9, No ratings 41.873966, -87.6694409
Roux, OPERATIONAL, 1055 East 55th Street, Chicago, 2, 4.6, No ratings 41.7948341, -87.6003897
Stayssy, OPERATIONAL, Halsted &, West 35th Street, Chicago, Price information not available, 4, No ratings 41.83064419999999, -87.6462507
Connie's Pizza, OPERATIONAL, 2301 South Lake Shore Drive, Chicago, Price information not available, 3.6, No ratings 41.8521948, -87.6153236
La Amistad Restaurant, OPERATIONAL, 1914 West Montrose Avenue #647, Chicago, 1, 4.3, No ratings 41.96164659999999, -87.6766375
Patio Beef, OPERATIONAL, 6022 North Broadway, Chicago, 1, 4.5, No ratings 41.9915216, -87.6605149
clark el ranchito mexican restaurant, OPERATIONAL, 4651 North Clark Street, Chicago, 1, 3.4, No ratings 41.96674509999999, -87.6668141
Two Shades Cafe, OPERATIONAL, 1152 West Taylor Street, Chicago, 1, 4.5, No ratings 41.86954040000001, -87.65632860000001
Rickette's, OPERATIONAL, 1514 West Taylor Street, Chicago, 2, 3.8, No ratings 41.869511, -87.6647705
Bhoomi 2 Go (Modern Indian Food), OPERATIONAL, 2537 South Wabash Avenue, Chicago, 2, 5, No ratings 41.8463923, -87.62488859999999
1308 Chicago, OPERATIONAL, 1308 North Elston Avenue, Chicago, 2, 4.5, No ratings 41.9056954, -87.66013980000001
IHOP, OPERATIONAL, 3760 North Halsted Street, Chicago, 1, 3.9, No ratings 41.9510634, -87.6499237
Four Shadows, OPERATIONAL, 2758 North Ashland Avenue, Chicago, Price information not available, 4.5, No ratings 41.932283, -87.66874399999999
Pho's Thai Cuisine, OPERATIONAL, 3332 North Lincoln Avenue, Chicago, 1, 4.5, No ratings 41.94236600000001, -87.6707972
Chicago Grilled Cheese & Mac Factory, OPERATIONAL, 1463 West Leland Avenue, Chicago, 2, 4.1, No ratings 41.9669593, -87.66657029999999
Baba Pita - Middle Eastern Scratch Kitchen and Bakery, OPERATIONAL, 2343 West Taylor Street, Chicago, 1, 4.4, No ratings 41.868762, -87.6853653
McDonald's, OPERATIONAL, 1004 West Wilson Avenue, Chicago, 1, 3.5, No ratings 41.9657327, -87.6552504
Rosebud Rosetta Italian, OPERATIONAL, 1 South Dearborn Street, Chicago, 3, 4.2, No ratings 41.8814351, -87.6288761
Volo Restaurant Wine Bar, OPERATIONAL, 2008 West Roscoe Street, Chicago, 2, 4.6, No ratings 41.943401, -87.678866
Giordano's, OPERATIONAL, 730 North Rush Street, Chicago, 2, 4.4, No ratings 41.8958395, -87.62566989999999
Imperial Restaurant, OPERATIONAL, 2100 South Archer Avenue, Chicago, 2, 4.1, No ratings 41.8545544, -87.6322747
Gaylord Fine Indian Cuisine, OPERATIONAL, 100 East Walton Street, Chicago, 2, 3.8, No ratings 41.90012060000001, -87.6250611
The Region - Handcrafted Hamburgers, OPERATIONAL, 2057 West Roscoe Street, Chicago, 1, 4.3, No ratings 41.9429889, -87.6807169
Estadio Grill, CLOSED_TEMPORARILY, 6122 North Clark Street, Chicago, Price information not available, No rating, No ratings 41.9936108, -87.6709934
Coco Pazzo, OPERATIONAL, 300 West Hubbard Street, Chicago, 3, 4.5, No ratings 41.8902, -87.635807
Tempesta Market, OPERATIONAL, 1372 West Grand Avenue, Chicago, 2, 4.7, No ratings 41.8912479, -87.6618113
Chile Toreado, OPERATIONAL, 2022 West 35th Street, Chicago, 2, 4.7, No ratings 41.8305054, -87.67628359999999
Tango Sur, OPERATIONAL, 3763 North Southport Avenue, Chicago, 2, 4.5, No ratings 41.95074200000001, -87.66386399999999
Frasca Pizzeria & Wine Bar, OPERATIONAL, 3358 North Paulina Street, Chicago, 2, 4.6, No ratings 41.9432039, -87.6713328
The Bar on Buena, OPERATIONAL, 910 West Buena Avenue, Chicago, 2, 4.5, No ratings 41.9586012, -87.65358839999999
The Mukase Restaurant (Chicago), CLOSED_TEMPORARILY, 1363 West Wilson Avenue, Chicago, 2, 4, No ratings 41.96512469999999, -87.6648558
Penelopes Vegan Taqueria Pilsen, OPERATIONAL, 1165 West 18th Street, Chicago, 2, 4.6, No ratings 41.8577991, -87.6557211
Starbucks, OPERATIONAL, 1157 West Wrightwood Avenue, Chicago, 2, 4, No ratings 41.9287781, -87.658433
Eppel's Restaurant, OPERATIONAL, 554 Roosevelt Road, Chicago, 1, 4.5, No ratings 41.867403, -87.64146400000001
Taco Pros - Mexican Cocina (Taylor St), OPERATIONAL, 2200 West Taylor Street, Chicago, 1, 4.6, No ratings 41.8692462, -87.68137329999999
Subway, OPERATIONAL, 1762 North Clybourn Avenue, Chicago, 1, 4.3, No ratings 41.9130773, -87.6528354
ZENSHI Handcrafted Sushi, OPERATIONAL, 4355 North Sheridan Road, Chicago, Price information not available, No rating, No ratings 41.96126409999999, -87.6531681
Nicky's Carry Outs, OPERATIONAL, 3501 South Western Boulevard, Chicago, Price information not available, 4.7, No ratings 41.830174, -87.6841906
Mole Village Restaurant, OPERATIONAL, 2302 South Blue Island Avenue, Chicago, 2, 4.6, No ratings 41.8505551, -87.6712405
Silom 12, OPERATIONAL, 1846 North Milwaukee Avenue, Chicago, 2, 4.4, No ratings 41.9149584, -87.6847998
Five Guys, OPERATIONAL, 1146 South Wabash Avenue, Chicago, 2, 4.2, No ratings 41.8677994, -87.6261567
Bryn Mawr Breakfast Club, OPERATIONAL, 4747 North Damen Avenue, Chicago, 2, 4.8, No ratings 41.9683263, -87.6787231
Farmer's Fridge, OPERATIONAL, 801 South Morgan Street, Chicago, Price information not available, No rating, No ratings 41.8717246, -87.6506131
Quick Bite Carry Outs, OPERATIONAL, 5155 North Western Avenue, Chicago, 1, 4.6, No ratings 41.9756757, -87.6888951
EL ideas, OPERATIONAL, 2419 West 14th Street, Chicago, 4, 4.8, No ratings 41.86289, -87.6868569
Jarabe - Taqueria, OPERATIONAL, 1104 West Taylor Street, Chicago, 1, 4.5, No ratings 41.8697104, -87.6545293
Four Seasons Dumplings 四季饺子馆, OPERATIONAL, 3205 South Halsted Street, Chicago, 2, 4.3, No ratings 41.8360163, -87.6458318
Garcia's Restaurant, OPERATIONAL, 4760 North Lincoln Avenue, Chicago, 2, 4.3, No ratings 41.968028, -87.6885016
Starbucks, OPERATIONAL, 1430 West Taylor Street, Chicago, 2, 4.2, No ratings 41.8694892, -87.6629877
Pa que el oso, OPERATIONAL, 5102 South Racine Avenue, Chicago, Price information not available, 4.7, No ratings 41.80128140000001, -87.6552047
Taco Bell, OPERATIONAL, 2410 South Western Avenue, Chicago, 1, 3.8, No ratings 41.8480038, -87.6858773
Ada Street, OPERATIONAL, 1664 North Ada Street, Chicago, 2, 4.7, No ratings 41.9125186, -87.6623571
Demera Restaurant, OPERATIONAL, 4801 North Broadway, Chicago, 2, 4.6, No ratings 41.9691819, -87.6594406
Dong Ky Vietnamese restaurant, OPERATIONAL, 4877 North Broadway, Chicago, Price information not available, 4.4, No ratings 41.970998, -87.65898899999999
Starbucks, OPERATIONAL, 2023-25 West Roscoe Street, Chicago, 2, 4.3, No ratings 41.94308099999999, -87.679512
Sweet Maple Cafe, OPERATIONAL, 1339 West Taylor Street, Chicago, 2, 4.5, No ratings 41.8691917, -87.660709
Mon Lung Restaurant, OPERATIONAL, 1009 North Ashland Avenue, Chicago, 2, 4.2, No ratings 41.9000395, -87.6671964
Subway, OPERATIONAL, 2319 West Madison Street, Chicago, 1, 4.1, No ratings 41.8809452, -87.6848967
Quartino Ristorante, OPERATIONAL, 626 North State Street, Chicago, 2, 4.5, No ratings 41.8935763, -87.6284713
Soule To Soule, OPERATIONAL, 1931 West Chicago Avenue, Chicago, Price information not available, 4.1, No ratings 41.8957257, -87.675822
George Street Pub, OPERATIONAL, 2858 North Halsted Street, Chicago, 2, 4.6, No ratings 41.93441179999999, -87.6492334
ML Kitchen, OPERATIONAL, 1138 West Taylor Street, Chicago, 2, 4.1, No ratings 41.8695589, -87.65578819999999
Bronzeville Hoagie & Panini, OPERATIONAL, 238 East 35th Street, Chicago, Price information not available, 4.5, No ratings 41.8312242, -87.6202361
Abusua Kitchen, OPERATIONAL, 4655 South Lake Park Avenue Apt 000, Chicago, Price information not available, 4.7, No ratings 41.810373, -87.593109
Jimmy John's, OPERATIONAL, 200 North Jefferson Street, Chicago, 1, 3.5, No ratings 41.8858568, -87.6431272
Garrett Popcorn Shops, OPERATIONAL, 26 West Randolph Street, Chicago, 2, 4.5, No ratings 41.8846663, -87.62883269999999
Elaine's Chop Suey Restaurant, OPERATIONAL, 4512 South Damen Avenue B, Chicago, 2, 3.3, No ratings 41.8107858, -87.67664909999999
Parlor Pizza Bar Wicker Park, OPERATIONAL, 1824 West Division Street, Chicago, 2, 4.4, No ratings 41.9034035, -87.6734244
Starbucks, OPERATIONAL, 1701 West Division Street, Chicago, 2, 4, No ratings 41.90311509999999, -87.6701142
The Hurley Tap, OPERATIONAL, 1645 West Cortland Street, Chicago, Price information not available, 4.7, No ratings 41.9158313, -87.6695797
Ezankaya, OPERATIONAL, 1320 West Devon Avenue, Chicago, 2, 5, No ratings 41.998344, -87.663798
Randolph Street Market Festival, CLOSED_TEMPORARILY, 1341 West Randolph Street, Chicago, 2, 4.3, No ratings 41.88381399999999, -87.660414
Sangeet Palace, OPERATIONAL, 2136 West Devon Avenue, Chicago, Price information not available, No rating, No ratings 41.9979979, -87.6840879
Bordeaux Lounge by Turquoise, OPERATIONAL, 2147 West Roscoe Street Ste 1E, Chicago, 1, 4.6, No ratings 41.9430063, -87.6826103
Beard & Belly, OPERATIONAL, 6157 North Broadway, Chicago, 2, 4.6, No ratings 41.9939584, -87.6601051
Peking Chinese Food, OPERATIONAL, 129 West North Avenue, Chicago, 2, 3.9, No ratings 41.91104889999999, -87.6327457
E Ramen, OPERATIONAL, 451 West 31st Street, Chicago, 2, 4.6, No ratings 41.8379677, -87.6380959
Innjoy, OPERATIONAL, 2051 West Division Street, Chicago, 1, 4.3, No ratings 41.9029882, -87.6792612
Popeyes Louisiana Kitchen, OPERATIONAL, 818 East 47th Street, Chicago, 1, 2.8, No ratings 41.8097955, -87.6055744
Jim's Original, OPERATIONAL, 1250 South Union Avenue, Chicago, 1, 4.5, No ratings 41.865692, -87.645223
Roots Handmade Pizza - West Town, OPERATIONAL, 1924 West Chicago Avenue, Chicago, 2, 4.3, No ratings 41.89620619999999, -87.67560429999999
Fontano's Subs, OPERATIONAL, 1058 West Polk Street, Chicago, 1, 4.7, No ratings 41.87208889999999, -87.65342869999999
Burrito Beach, OPERATIONAL, 500 West Madison Street #14, Chicago, 1, 3.8, No ratings 41.88285209999999, -87.6399326
Tacos & Burrito Express #3, OPERATIONAL, 1512 North Ashland Avenue, Chicago, 1, 4.5, No ratings 41.90920970000001, -87.66795549999999
Uncle Remus SFC - 47th Street, OPERATIONAL, 737 East 47th Street, Chicago, 1, 3.8, No ratings 41.809376, -87.6073797
Pita Express Restaurant, OPERATIONAL, 4649 North Damen Avenue #1501, Chicago, 2, 4.8, No ratings 41.9665582, -87.6788764
Little Vietnam Restaurant, OPERATIONAL, 1132 West Bryn Mawr Avenue, Chicago, 1, 4.5, No ratings 41.9839394, -87.6594231
Hema's Kitchen/Relocating., CLOSED_TEMPORARILY, 2439 West Devon Avenue, Chicago, 2, 3.9, No ratings 41.99745220000001, -87.6914783
